,Stemmed_Comments,Fixed_Comments
6523,aku suka sama erick oramgnya seru,aku suka sama erick oramgnya seru
6524,semangat aja bang moga jalan kamu nghibur makin maju wkwkwkwkwwkwk erkolim is the best,semangat aja bang moga jalan kamu nghibur makin maju wkwkwkwkwwkwk erkolim is the best
6525,tertawa anjing haters makin lama makin goblog wkwkwkwk,tertawa hewan ternak haters makin lama makin goblog wkwkwkwk
6526,balik asem yg hate komen kamu uda biasa yg nice komen yg biasagmn sihwk erkolim is the best,balik asem yg hate komen kamu uda biasa yg nice komen yg biasagmn sihwk erkolim is the best
6527,hatters goblok,hatters tidak pengertian
6528,gada konten bacain komen haters haters duit ngerti gua boleh caralu cari duit bang,gada konten bacain komen haters haters duit ngerti gua boleh caralu cari duit bang
6529,bangsat kamu rick daylen dwiputra aters duit ngerti gua boleh caralu cari duit bang,tidak bermoral kamu rick daylen dwiputra aters duit ngerti gua boleh caralu cari duit bang
6530,bang gua tetep jadi soapers donk,bang gua tetep jadi soapers donk
6531,support kamu rick aku,support kamu rick aku
6532,ppfft astronot kok dj,ppfft astronot kok dj
6533,ya bang haters gaada yg baik p,ya bang haters gaada yg baik p
6534,gua like menghibung anjing baik p,gua like menghibung hewan ternak baik p
6535,intro lagi wkwkwk,intro lagi wkwkwk
6536,mantap bang jangan didenger haters mah emg gitu gua support kamu terus men,mantap bang jangan didenger haters mah emg gitu gua support kamu terus men
6537,benci kamu iri bangg,benci kamu iri bangg
6538,rik aku pribadi konten kamu sdikit garing bikin yg lah jangan nge bahas kaya game atw yg sering bahas aku saranin rik bikin conten yg agak aneh kaya mancingin belut buru ikan hiu bakal yg baru kocak nya saran doang hehehe elu bang erick kontol,rik aku pribadi konten kamu sdikit garing bikin yg lah jangan nge bahas kaya game atw yg sering bahas aku saranin rik bikin conten yg agak aneh kaya mancingin belut buru ikan hiu bakal yg baru kocak nya saran doang hehehe elu bang erick alat kelamin pria
6539,video ajar aku kalau kamu dibully orang dibully balik wkwk,video ajar aku kalau kamu dibully orang dibully balik wkwk
6540,ssiipp gua suka kata lhu rick gua tau lhu org nya suka nge toxic banyak yg ngikutin cara gaya lhu luar duga,ssiipp gua suka kata lhu rick gua tau lhu org nya suka nge toxic banyak yg ngikutin cara gaya lhu luar duga
6541,i love you bro bekose only u the next fuckin idiot pink guy and can feel my hart with a good love fuck yeah,i love you bro bekose only u the next fuckin kurang pintar pink guy and can feel my hart with a good love fuck yeah
6542,erick goblog,erick goblog
6543,haters kamu banyak makan micin goblok,haters kamu banyak makan micin tidak pengertian
6544,fahri gua bang ah parah kamu bang,fahri gua bang ah parah kamu bang
6545,haters goblok lahir pakek sihir ng,haters tidak pengertian lahir pakek sihir ng
6546,semangat kk erik aku bakal dukung kamu terus,semangat kk erik aku bakal dukung kamu terus
6547,toxic tau waktu serius n becanda mantep tod,toxic tau waktu serius n becanda mantep tod
6548,sabar sabar ric jan dengerin kata hatters bullshit for hatters,sabar sabar ric jan dengerin kata hatters bullshit for hatters
6549,plis la rick renti ngikutin pink guy tu manusia buat udah gada di muka bumi jan bikin versi indonesia thx,plis la rick renti ngikutin pink guy tu manusia buat udah gada di muka bumi jan bikin versi indonesia thx
6550,support for ericko,support for ericko
6551,bagaimana banyak haters channel nya ajh sesat,bagaimana banyak haters channel nya ajh sesat
6552,kalau aku mah kalau cuma ngomong jorok yaa dosa kamu sendiri yg nanggung asal konten kamu nyinggung agama politik jing,kalau aku mah kalau cuma ngomong jorok yaa kesalahan kamu sendiri yg nanggung asal konten kamu nyinggung agama politik jing
6553,aku tebang njing bau memek omong jorok yaa dosa kamu sendiri yg nanggung asal konten kamu nyinggung agama politik jing,aku tebang njing bau alat kelamin wanita omong jorok yaa kesalahan kamu sendiri yg nanggung asal konten kamu nyinggung agama politik jing
6554,jujur aja yang laku erick kolim yang lakulan saya bisa halang suatu jadi anggap yang laku erick kolim bagai dunia fantasi saya keep smile,jujur aja yang laku erick kolim yang lakulan saya bisa halang suatu jadi anggap yang laku erick kolim bagai dunia fantasi saya keep smile
6555,inti ericko lim orang lucu suka bilang k nt l anj ing lah masih tetap tahan dunia youtube,inti ericko lim orang lucu suka bilang k nt l anj ing lah masih tetap tahan dunia youtube
6556,kamu mungkin pandang jahat ampas gua tau kamu baik jing contoh aja temen kamu yg kaneki harga diri di angkat tapi ujung ujung cundang,kamu mungkin pandang jahat tidak berguna gua tau kamu baik jing contoh aja temen kamu yg kaneki harga diri di angkat tapi ujung ujung cundang
6557,kalau masalah ganteng emang iya anjing kamu sama aku aja mas ganteng aku catet ya kontol,kalau masalah ganteng emang iya hewan ternak kamu sama aku aja mas ganteng aku catet ya alat kelamin pria
6558,ericko lim sama arap lebih tahan ericko lim,ericko lim sama arap lebih tahan ericko lim
6559,ericko lim,ericko lim
6560,gua harap gua punya haters,gua harap gua punya haters
6561,comment haters baca,comment haters baca
6562,jijik how to chanel how to basic subscribe lebih banyak kamu memang kamu subscribe k dlu kamu bgini kok hibur gila aku inget tu waktu kamu bikin vidio make baju filthy frank yabg sus ngomong ngentod wkw ini coba laah udah juta wkwk dulu waktu k an dikit yg hateklo mau tahu kenal dekat tidak cocok pergi simpel,jijik how to chanel how to basic subscribe lebih banyak kamu memang kamu subscribe k dlu kamu bgini kok hibur tidak waras aku inget tu waktu kamu bikin vidio make baju filthy frank yabg sus ngomong ngentod wkw ini coba laah udah juta wkwk dulu waktu k an dikit yg hateklo mau tahu kenal dekat tidak cocok pergi simpel
6563,bang kok youtube rewind ajak qorygore bang,bang kok youtube rewind ajak qorygore bang
6564,haters erick bykan bocah ngentott fuckk gua dukungin ericko smoga suskes bro salam soaperss,haters erick bykan bocah ngentott fuckk gua dukungin ericko smoga suskes bro salam soaperss
6565,haters sok motivasi anjing kalau sukak jangan tonton aja,haters sok motivasi hewan ternak kalau sukak jangan tonton aja
6566,tenang bang kamu ganteng kok,tenang bang kamu ganteng kok
6567,opening legend lgi yuhuuuuu ericko no limit prosss,opening legend lgi yuhuuuuu ericko no limit prosss
6568,suka karya orang masih suka pantengin orang goblok tu ke sum sum tulang anjing,suka karya orang masih suka pantengin orang tidak pengertian tu ke sum sum tulang hewan ternak
6569,ericko lim no limit pross is back,ericko lim no limit pross is back
6570,haters kok goblog goblok yah wkwkk,haters kok goblog tidak pengertian yah wkwkk
6571,aku tertawa banget liat nya njiirrr hibur banget semangat buat erico,aku tertawa banget liat nya njiirrr hibur banget semangat buat erico
6572,nice bang,nice bang
6573,wkwkw aku selalu skip iklan aja biar jadi duit kwkw,wkwkw aku selalu skip iklan aja biar jadi duit kwkw
6574,ntu siape ye,ntu siape ye
6575,toxic aja terus ily konten mutu paling family friendly dunisampai sum sum tulang anjing,toxic aja terus ily konten mutu paling family friendly dunisampai sum sum tulang hewan ternak
6576,tertawa bangsat hahaha,tertawa tidak bermoral hahaha
6577,susu kntl manis dulu bang,susu kntl manis dulu bang
6578,woi bau memek benci,woi bau alat kelamin wanita benci
6579,jokes kamu sajiin tidak cocok buat manusia manusia mereka rick mereka suka hai teman teman mulu kagak ngerti subtext kamu sajiin balik jokes toxic kamu,jokes kamu sajiin tidak cocok buat manusia manusia mereka rick mereka suka hai teman teman mulu kagak ngerti subtext kamu sajiin balik jokes toxic kamu
6580,bang kok subcriber kamu goblok,bang kok subcriber kamu tidak pengertian
6581,slow aja bang penting edsens jalan terus wkkwkwkwk gx usah d fikirin anak anak coli,slow aja bang penting edsens jalan terus wkkwkwkwk gx usah d fikirin anak anak coli
6582,woy erick bangsat aku bukan haterslu aku ken sebut ajaa aku fans kamu sejak kamu garena,woy erick tidak bermoral aku bukan haterslu aku ken sebut ajaa aku fans kamu sejak kamu garena
6583,walaupun kamu kaya konyol,walaupun kamu kaya konyol
6584,cinta haters mu ambil adsens tiapp hari onya,cinta haters mu ambil adsens tiapp hari onya
6585,buru collab sama emak kamu rick,buru collab sama emak kamu rick
6586,bau memek anjing emak kamu rick,bau alat kelamin wanita hewan ternak emak kamu rick
6587,bang sering upload,bang sering upload
6588,maju aja terus,maju aja terus
6589,aku pertama hetters kamu sekarang gua fans kamu,aku pertama hetters kamu sekarang gua fans kamu
6590,kalau benci suka jangan banyak ngomong usah tonton aja pake otak kamu lah kamu mau ngelaratin si erick tidak usah nonton chanelnya,kalau benci suka jangan banyak ngomong usah tonton aja pake otak kamu lah kamu mau ngelaratin si erick tidak usah nonton chanelnya
6591,rik apa gua mesti jadi haters elu komen gua baca sama elu hahaha,rik apa gua mesti jadi haters elu komen gua baca sama elu hahaha
6592,finaly intro jess no kntil,finaly intro jess no kntil
6593,dulu baru pertama kali aku baca komen komennya chanel,dulu baru pertama kali aku baca komen komennya chanel
6594,lupain haters bang gua tonton setia kamu gua suka konten kamu kamu niat ngehibur kalau kalian haters kagak suka mending pergi aja gua soapers,lupain haters bang gua tonton setia kamu gua suka konten kamu kamu niat ngehibur kalau kalian haters kagak suka mending pergi aja gua soapers
6595,kok ikut series erpan hmmm kopex ikut,kok ikut series erpan hmmm kopex ikut
6596,anjinggggggggggggggggggggggggg haters semua video yg faedah hanya hibur aku hibur anjinggggggggggggggggggggggggg haters,anjinggggggggggggggggggggggggg haters semua video yg faedah hanya hibur aku hibur anjinggggggggggggggggggggggggg haters
6597,rambut kamu mirip apip,rambut kamu mirip apip
6598,intro paling aku suka sering sering bang bikin intro gitu bang,intro paling aku suka sering sering bang bikin intro gitu bang
6599,gasuka gausah nonton wkwk simple,gasuka gausah nonton wkwk simple
6600,pth hack,pth hack
6601,muka kamu sampah organik sampah basah sampah kering sampah brvitamin smph nutrisi anjink hatecomment,muka kamu limbah organik limbah basah limbah kering limbah brvitamin smph nutrisi anjink hatecomment
6602,bang haters tutut aku irang tidak suka karya orang bang guaa,bang haters tutut aku irang tidak suka karya orang bang guaa
6603,anjir nonton channel kamu wajib make headset bang wkwkwkw,sialan nonton channel kamu wajib make headset bang wkwkwkw
6604,bang eric w nitip wa yak,bang eric w nitip wa yak
6605,ericko lim plp usak lubang pipis hahaha,ericko lim plp usak lubang pipis hahaha
6606,nyeeest im the king,nyeeest im the king
6607,tolol dna,tidak pengertian dna
6608,haters masukin tong sampah aja bang ha,haters masukin tong limbah aja bang ha
6609,usah peduliin haters bg,usah peduliin haters bg
6610,soapers selalu buat kamu bang keep charming stay focus,soapers selalu buat kamu bang keep charming stay focus
6611,ambil lucu aja,ambil lucu aja
6612,banyak haters kamu pakai akun abal abal,banyak haters kamu pakai akun abal abal
6613,dapet duit banyak banyak heaters mending hapus channel terus singkronnya dapet duit banyak heaters sama hapus channel ajg tolol asah k wajib,dapet duit banyak banyak heaters mending hapus channel terus singkronnya dapet duit banyak heaters sama hapus channel ajg tidak pengertian asah k wajib
6614,never give up,never give up
6615,maksa banget menit anjing,maksa banget menit hewan ternak
6616,berapa greget kamu nonton video,berapa greget kamu nonton video
6617,butuh uang yeee rajin upload,butuh uang yeee rajin upload
6618,lim coo kaum arap fak citra,lim coo kaum arap fak citra
6619,um arap ini fak citra,um arap ini fak citra
6620,firman gar biasa cok gausah ngegas mbot,firman gar biasa cok gausah ngegas mbot
6621,lim coo maksudlu banyak orang ngebuli bang eric ngepuji ehh asal kamu tau para haters dah ikan hitam semua ikan putih asal kamu tau dari semua benar banyak orang ngepuji bang eric banhkan kali kali lipat kamu lihat sendiri like nya men benar nya orang ngepuji itu jauh lebih banyak saja tidak liat orang yang ngebuli loo,lim coo maksudlu banyak orang ngebuli bang eric ngepuji ehh asal kamu tau para haters dah ikan hitam semua ikan putih asal kamu tau dari semua benar banyak orang ngepuji bang eric banhkan kali kali lipat kamu lihat sendiri like nya men benar nya orang ngepuji itu jauh lebih banyak saja tidak liat orang yang ngebuli loo
6622,crown gaming opo cok,crown gaming opo cok
6623,siapp bangsattttt,siapp bangsattttt
6624,soapersgsattttt,soapersgsattttt
6625,yoogss kontoll,yoogss kontoll
6626,tolol kamu sama sangek nyaang ngebuli bang eric ngepuji ehh asal kamu tau para haters dah ikan hitam semua ikan putih asal kamu tau dari semua benar banyak orang ngepuji bang eric banhkan kali kali lipat kamu lihat sendiri like nya men benar nya orang ngepuji itu jauh lebih banyak saja tidak liat orang yang ngebuli loo,tidak pengertian kamu sama sangek nyaang ngebuli bang eric ngepuji ehh asal kamu tau para haters dah ikan hitam semua ikan putih asal kamu tau dari semua benar banyak orang ngepuji bang eric banhkan kali kali lipat kamu lihat sendiri like nya men benar nya orang ngepuji itu jauh lebih banyak saja tidak liat orang yang ngebuli loo
6627,aku soapers anjink sopers enak,aku soapers anjink sopers enak
6628,btw bang ntu haters ko tol kga ush didengerin,btw bang ntu haters ko tol kga ush didengerin
6629,sedih amatsi jadi kamu goblk wkwkwkwk,sedih amatsi jadi kamu goblk wkwkwkwk
6630,tertawa like wkwkwkwkwk,tertawa like wkwkwkwkwk
6631,aku ngebalain kamu rik,aku ngebalain kamu rik
6632,semangat erik,semangat erik
6633,semangattrs bang rick biar hatetrs kont l bicara kejar mimpi kamu,semangattrs bang rick biar hatetrs kont l bicara kejar mimpi kamu
6634,wkwkwkwkw haters nya jelas lul,wkwkwkwkw haters nya jelas lul
6635,channel hibur,channel hibur
6636,benci punya pikir kalau mampu ngeyoutube apa tidak usah jelek in org tod ini benci tai benci bangsat coba kamu yg bikin konten youtube,benci punya pikir kalau mampu ngeyoutube apa tidak usah jelek in org tod ini benci kotoran benci tidak bermoral coba kamu yg bikin konten youtube
6637,bg toxic kamu kapan nerf yak,bg toxic kamu kapan nerf yak
6638,anti sekip kleb,anti sekip kleb
6639,hadeeehhh masa channel didik bnyk haterssube apa usah jelek in org tod ini benci tai benci bangsat coba kamu yg bikin konten youtube,hadeeehhh masa channel didik bnyk haterssube apa usah jelek in org tod ini benci kotoran benci tidak bermoral coba kamu yg bikin konten youtube
6640,rick mukelu meme k temen aku ngatain aku muka aku meme k jangan sodara meme k,rick mukelu meme k temen aku ngatain aku muka aku meme k jangan sodara meme k
6641,haters goblok smua g punya otak mikir pakr kontol anjingggg kamu komen banyak yg dapet duit malah neng nambahin duit anjing goblok bangsat memek,haters tidak pengertian smua g punya otak mikir pakr alat kelamin pria anjingggg kamu komen banyak yg dapet duit malah neng nambahin duit hewan ternak tidak pengertian tidak bermoral alat kelamin wanita
6642,klok banyak haters arti banyak uang,klok banyak haters arti banyak uang
6643,emang kontol tu haters kamu rik mereka sumber uang,emang alat kelamin pria tu haters kamu rik mereka sumber uang
6644,soapking best,soapking best
6645,video nya mnt iklan se semesta ajg,video nya mnt iklan se semesta ajg
6646,yg sabar,yg sabar
6647,bang qorygore,bang qorygore
6648,ericko lim keren kontol,ericko lim keren alat kelamin pria
6649,aku nonton video kamu tertawa tidak aku subscribe sumber uang,aku nonton video kamu tertawa tidak aku subscribe sumber uang
6650,bang jangan nang bang,bang jangan nang bang
6651,bang aku mau nanyak,bang aku mau nanyak
6652,uwes subscribe cokkk jancok mulai awal kon main cat mario,uwes subscribe cokkk jancok mulai awal kon main cat mario
6653,makin tinggi kamu ada makin banyak yg bakal usaha jatuh mu,makin tinggi kamu ada makin banyak yg bakal usaha jatuh mu
6654,gua slalu dukung kamu eriko panutan gua,gua slalu dukung kamu eriko panutan gua
6655,nama yg comennya bacain mana coment donk wkwkw kamu haters nonton lha ka eriko malah dapet duit u ngabisin kouta hahaha,nama yg comennya bacain mana coment donk wkwkw kamu haters nonton lha ka eriko malah dapet duit u ngabisin kouta hahaha
6656,paling haters si soapking raps apa dah lupa aku raps raps apa aku lupa bangsat,paling haters si soapking raps apa dah lupa aku raps raps apa aku lupa tidak bermoral
6657,haters kamu kbnykan makan micin,haters kamu kbnykan makan micin
6658,gilasehhh,gilasehhh
6659,punya konten,punya konten
6660,kontol kamu jess,alat kelamin pria kamu jess
6661,i like your style bg micin,i like your style bg micin
6662,halah bangsad kao erick kontol,halah bangsad kao erick alat kelamin pria
6663,haters mental wkwkwkwk,haters mental wkwkwkwk
6664,anjing kamu rik gua salut sama kamu kamu tetep semangag banyak heaters heaters luar sana salam soapers tasik malayata hahaha,hewan ternak kamu rik gua salut sama kamu kamu tetep semangag banyak heaters heaters luar sana salam soapers tasik malayata hahaha
6665,woy anjing titik tai nya banyak kagak gua skip anjing,woy hewan ternak titik kotoran nya banyak kagak gua skip hewan ternak
6666,kalau ada haters kamu kaya bang wkwk,kalau ada haters kamu kaya bang wkwk
6667,haters bisa cuma ngatain lewat sosmed dasar bocah,haters bisa cuma ngatain lewat sosmed dasar bocah
6668,haters aja bikin kamu makan apa fans,haters aja bikin kamu makan apa fans
6669,kont l,kont l
6670,pantat tebal kya astronot,bokong tebal kya astronot
6671,haters fans yg tunda kampret bijak definisi lolz tertawa,haters fans yg tunda bajak laut bijak definisi lolz tertawa
6672,komen dia yg dapet duit,komen dia yg dapet duit
6673,bang erik iri ama melet kamu,bang erik iri ama melet kamu
6674,kamu hibur gua anjinggg,kamu hibur gua anjinggg
6675,aku suka liat konten kamu eriq biarpun ngak mutu entah aku suka,aku suka liat konten kamu eriq biarpun ngak mutu entah aku suka
6676,tetap diri bang erik jangan goyah sedikit,tetap diri bang erik jangan goyah sedikit
6677,untung aku fans kamu rik kelampug geh rik tulang bawang kamu tidak ush autis kntl buru meet n greet lampung,untung aku fans kamu rik kelampug geh rik tulang bawang kamu tidak ush perlu perhatian khusus kntl buru meet n greet lampung
6678,tertawa gua liat perut kamu njer itu bagai perut sispax tunda wkwkwkw,tertawa gua liat perut kamu njer itu bagai perut sispax tunda wkwkwkw
6679,erick kontol channelnya didik kok haters goblok,erick alat kelamin pria channelnya didik kok haters tidak pengertian
6680,erick sok doi punya duit donggg kga kamu,erick sok doi punya duit donggg kga kamu
6681,gaya macam k pop muka produk lokal,gaya macam k pop muka produk lokal
6682,menit orang ngerti soapers goblok,menit orang ngerti soapers tidak pengertian
6683,hey ladies kalian rasa memek kalian ngilu lihat video inikontol i m not haters suka usah nonton anjing kalau kamu mau nonton kalau jijik tutup youtube anak anak teruss kasih sandi ngentot,hey ladies kalian rasa alat kelamin wanita kalian ngilu lihat video inikontol i m not haters suka usah nonton hewan ternak kalau kamu mau nonton kalau jijik tutup youtube anak anak teruss kasih sandi berhubungan intim
6684,anjir ada efek instagramnya wkwkwk,sialan ada efek instagramnya wkwkwk
6685,rick gua masuk video kamu donk gua komen hate rick kamu tidak cocok jadi orang kamu cocok jadi manusia,rick gua masuk video kamu donk gua komen hate rick kamu tidak cocok jadi orang kamu cocok jadi manusia
6686,bang aku dukung luuu,bang aku dukung luuu
6687,kasi bang ericko lim banyak benci,kasi bang ericko lim banyak benci
6688,hahahahah tetap semangat aku asal elu ngehina agama tetap aku suport pd buat youtube menertawakn agama dn kumpul hatters semua yutub biadab alias munafik hiya hiya hiya ch belah tu biji yg suka bilang boo ong sukses buat ytr tahun bro,hahahahah tetap semangat aku asal elu ngehina agama tetap aku suport pd buat youtube menertawakn agama dn kumpul hatters semua yutub biadab alias tidak jujur hiya hiya hiya ch belah tu biji yg suka bilang boo ong sukses buat ytr tahun bro
6689,mantap karya terus good job rik wahahaha benci kamu keren kamu mantap gua nonton tidak lama rik gua kasih kamu like rik konkolim,mantap karya terus good job rik wahahaha benci kamu keren kamu mantap gua nonton tidak lama rik gua kasih kamu like rik konkolim
6690,kamu ganteng bang jangan pikitin comenan benci,kamu ganteng bang jangan pikitin comenan benci
6691,kangen gua intro anj,kangen gua intro anj
6692,aku subscribe kamu ric kamu beda kalau blakang kamera baik banget,aku subscribe kamu ric kamu beda kalau blakang kamera baik banget
6693,aku skip gara gara iklan tik tok,aku skip gara gara iklan tik tok
6694,yah kurang seru coba liat poto ig nya terus roast balikk,yah kurang seru coba liat poto ig nya terus roast balikk
6695,konten kamu hidup aku sedikit warna,konten kamu hidup aku sedikit warna
6696,tetap semangat bang pun banyak anjing yg komen negatif,tetap semangat bang pun banyak hewan ternak yg komen negatif
6697,hahaha whatever rick nama channel hibur bngsttttt kontlooo,hahaha whatever rick nama channel hibur bngsttttt kontlooo
6698,biasa iri ama luu,biasa iri ama luu
6699,keren simamang,keren simamang
6700,paling suka sama backsoundnnya,paling suka sama backsoundnnya
6701,bego anjing,tidak pintar hewan ternak
6702,arti kamu bulu arab cmn subscribe erick kontol bngstd,arti kamu bulu arab cmn subscribe erick alat kelamin pria bngstd
6703,back sound kamu gede bang suara nya jadi trlalu kedengeran suara kamu,back sound kamu gede bang suara nya jadi trlalu kedengeran suara kamu
6704,subscribe channel aku kaka aku subsback kedengeran suara kamu,subscribe channel aku kaka aku subsback kedengeran suara kamu
6705,bacot erick kontol,banyak bicara erick alat kelamin pria
6706,butuh adsense gampang tinggal bikin video baca hate coment easy edit easy upload,butuh adsense gampang tinggal bikin video baca hate coment easy edit easy upload
6707,semangat terus bang buat kontenneo baca hate coment easy edit easy upload,semangat terus bang buat kontenneo baca hate coment easy edit easy upload
6708,woi kntl video kamu banyak iklan durasi iklan nya menit tidak bakal gua skipp kntll,woi kntl video kamu banyak iklan durasi iklan nya menit tidak bakal gua skipp kntll
6709,tertawa bangsat wkwkkw,tertawa tidak bermoral wkwkkw
6710,anjir intro legend balik lgi kwkwkkwkwkwkwkwkwk,sialan intro legend balik lgi kwkwkkwkwkwkwkwkwk
6711,soapers kntl,soapers kntl
6712,holla erickolim,holla erickolim
6713,haters banyak gpp bang penting subscriber abang abang hibur,haters banyak gpp bang penting subscriber abang abang hibur
6714,netijen kontol,netijen alat kelamin pria
6715,jadi haters kok sadis tatap tatap sinis yeah,jadi haters kok sadis tatap tatap sinis yeah
6716,dasar netihen maha kontol,dasar netihen maha alat kelamin pria
6717,tetep jadi aku,tetep jadi aku
6718,anti skip skip iklan club dapet apa nihh rickk,anti skip skip iklan club dapet apa nihh rickk
6719,bang semenjak kamu ngehina arap banyak haters benci ama kamu,bang semenjak kamu ngehina arap banyak haters benci ama kamu
6720,balik intro anjink,balik intro anjink
6721,erickontoljembut,erickontoljembut
6722,bang kamu ngikutin gaya filthyfrank,bang kamu ngikutin gaya filthyfrank
6723,nyata erickontoru habis konten,nyata erickontoru habis konten
6724,btw kamu super cringe,btw kamu super cringe
6725,bg aku suka gula no micin aku tonton setia bg eric,bg aku suka gula no micin aku tonton setia bg eric
6726,bocah normies kebelet edgy pake nama josef stalin,bocah normies kebelet edgy pake nama josef stalin
6727,gila kamu nonton ericko dalam kubur,tidak waras kamu nonton ericko dalam kubur
6728,j,j
6729,njirrr yg like cuma,njirrr yg like cuma
6730,kapten liong alhamdulilah verified wkwk,kapten liong alhamdulilah verified wkwk
6731,sedih,sedih
6732,bang love bang,bang love bang
6733,bikin konten unfaedah hibur banyak haters awto jadi sultan,bikin konten unfaedah hibur banyak haters awto jadi sultan
6734,ada otak memang haters kalau suka jangan lihat anjing bang jangan hirau haters bang banyak botol bocah kontol moga cepat jt subscribe,ada otak memang haters kalau suka jangan lihat hewan ternak bang jangan hirau haters bang banyak botol bocah alat kelamin pria moga cepat jt subscribe
6735,the old intro is back,the old intro is back
6736,aku suka gaya kamu rick,aku suka gaya kamu rick
6737,tenang bang erick gua tonton setia kamu konten yg kamu buat seru monoton keren terusin bang,tenang bang erick gua tonton setia kamu konten yg kamu buat seru monoton keren terusin bang
6738,gua ngefans banget ama bang erickolim kata nya buat gua motivasi,gua ngefans banget ama bang erickolim kata nya buat gua motivasi
6739,mohon yang nge bully eric kamu tolol bangsat coba kamu jadi eric terus karya kamu hujat mikir goblok netijen yg otak somplak mikir tolol,mohon yang nge bully eric kamu tidak pengertian tidak bermoral coba kamu jadi eric terus karya kamu hujat mikir tidak pengertian netijen yg otak somplak mikir tidak pengertian
6740,soapers bantu subscrabe dong,soapers bantu subscrabe dong
6741,wkwkw tertawa aku benci tolol,wkwkw tertawa aku benci tidak pengertian
6742,iklan ngk gua skip anjinkk semangat terus rick gua dukung luric terus karya kamu hujat mikir goblok netijen yg otak somplak mikir tolol,iklan ngk gua skip anjinkk semangat terus rick gua dukung luric terus karya kamu hujat mikir tidak pengertian netijen yg otak somplak mikir tidak pengertian
6743,bang tanggung jawab kucing ku hamil suami marah marah rumah aku,bang tanggung jawab kucing ku hamil suami marah marah rumah aku
6744,subscribe kamu yg suka kontol,subscribe kamu yg suka alat kelamin pria
6745,aku muslim nyaman aja nonton channel kamu,aku muslim nyaman aja nonton channel kamu
6746,lebih baik kamu hapus tu channel rick mak kamu muka anjing,lebih baik kamu hapus tu channel rick mak kamu muka hewan ternak
6747,aku yakin haters kamu keluar waktu maknya gosok minum ale ale ribu rick,aku yakin haters kamu keluar waktu maknya gosok minum ale ale ribu rick
6748,rick aku fans sejati kamu rik kamu up aku tonton rick pasti aku unlike,rick aku fans sejati kamu rik kamu up aku tonton rick pasti aku unlike
6749,bocah bocah kontol,bocah bocah alat kelamin pria
6750,erick ngentot kontol anjing memek kamu anjing semua hina kamu kontol anjing ngentot,erick berhubungan intim alat kelamin pria hewan ternak alat kelamin wanita kamu hewan ternak semua rendah kamu alat kelamin pria hewan ternak berhubungan intim
6751,haters kamu bayi tabung smua rik sanss,haters kamu bayi tabung smua rik sanss
6752,tertawa asw like this mffk,tertawa asw like this mffk
6753,bang bikin konten point blank lgi donk,bang bikin konten point blank lgi donk
6754,muka kamu kaya kontol suka nge loco batmen anjing kontol,muka kamu kaya alat kelamin pria suka nge loco batmen hewan ternak alat kelamin pria
6755,haters kamu bocah kotl rick,haters kamu bocah kotl rick
6756,kocak ajg edit yg anu mermaidman spongebob kaowkaowk,kocak ajg edit yg anu mermaidman spongebob kaowkaowk
6757,wahh jadi youtube rewind,wahh jadi youtube rewind
6758,coba sekali aja buat konten yg banyak benci kamu minta bang biar kaget bkn cuman haters yg kaget fans kamu jga syok k mikir tolol,coba sekali aja buat konten yg banyak benci kamu minta bang biar kaget bkn cuman haters yg kaget fans kamu jga syok k mikir tidak pengertian
6759,sejak kapan bisa ceramah,sejak kapan bisa ceramah
6760,erick kontol anjing tau malu kontol,erick alat kelamin pria hewan ternak tau malu alat kelamin pria
6761,bang jangan dengar haters mereka cuma berani medsos medsos aja kontol kao ericko bgst kao rik pas meet and greet mereka muja diri kamu,bang jangan dengar haters mereka cuma berani medsos medsos aja alat kelamin pria kao ericko bgst kao rik pas meet and greet mereka muja diri kamu
6762,erick jembod bully tambah kaya wkwkwk,erick jembod bully tambah kaya wkwkwk
6763,bener si di ciptain otak buat pilih buruk baik nya gantung orang dah nyaring tidak nya hehehe,bener si di ciptain otak buat pilih buruk baik nya gantung orang dah nyaring tidak nya hehehe
6764,woy haters anjing kalau suka usah tonton gua mah nonton erick cuma buat neng neng doang lagi gua tau mana yg benar mana salah,woy haters hewan ternak kalau suka usah tonton gua mah nonton erick cuma buat neng neng doang lagi gua tau mana yg benar mana salah
6765,aku yakin kalau ericko bikin giveaway hatersnya lgsg subscribe v,aku yakin kalau ericko bikin giveaway hatersnya lgsg subscribe v
6766,kamu ngecringe malah jadi autis,kamu ngecringe malah jadi perlu perhatian khusus
6767,ngomong doang tai jt subscribe mau botak kontol,ngomong doang kotoran jt subscribe mau botak alat kelamin pria
6768,panutan gua waktu sperma yg suka like,panutan gua waktu sperma yg suka like
6769,bang haters aku kok baik mungkin tahu cara bikin haters jd jahat,bang haters aku kok baik mungkin tahu cara bikin haters jd jahat
6770,kocakk anjir wkwkwkwk tolol semua comment,kocakk sialan wkwkwkwk tidak pengertian semua comment
6771,youtube com c alfretbawole,youtube com c alfretbawole
6772,btw benci tulis haters bukan heaters heaters apa anjing hangat,btw benci tulis haters bukan heaters heaters apa hewan ternak hangat
6773,sabar erikolim,sabar erikolim
6774,aku mau jadi haters ah biar komen aku msk ytil,aku mau jadi haters ah biar komen aku msk ytil
6775,opening yg gua tunggu,opening yg gua tunggu
