likeCount,Comments,Author
0.0,bang kalau ada haters di balas gini lo bngsd gua tampol lu,Galon Gamer
0.0,bang diemin aja para haters kontol itu nanti juga capek sendiri,Anar Gya
0.0,teruntuk kalian para haters tonton video ini,Andrey K W
0.0,eh bg buat konten kocak lah biar ngakak nantonya pek sendiri,V
0.0,bang bkinin yg part ii dong bang,mhuchlizt jr.
0.0,kalo muka erik kaya kontol gue setuju so erik niat ngehibur anjing sesimple itu tapi pikiran lo low nonton kemana anjing jadi lo haters erik and erik sama muka kontol,ROOTS ANIMATE
0.0,kontolmu cilik,Hilih Kintil
0.0,bang kapan buat musik baru yg keren,Adil Pratama
0.0,yg ngehate lu pada munafik rik pdhal smuanya karna iri gabisa jdi jelek kyk lu,Melvin Marbun
0.0,syalom mas erick,REY ROY
0.0,lagian apa guna nya hater begooo haters memek,Tegar Rizman
0.0,erickontol,chanell pendidikan
0.0,haters sumber uang mantep rik,Azriel Golay
2.0,dasar haters  banyak bacot ga bisa apa aarna iri gabisa jdi jelek kyk lu,Ivander Lael
0.0,anjir ngakak banyak bacot ga bisa apa aarna iri gabisa jdi jelek kyk lu,Shifa Layla
3.0,rik gw request makanan yng gak berfaedah  aarna iri gabisa jdi jelek kyk lu,raka acl
0.0,makan jembut lagi dong,Andriy M
0.0,anjing ni orang,kapten adeung
0.0,ga urusan erick banyak haters gua bakal jadi fans setia lu bang,BADBADASS TV
0.0,bachott eek anak anjing,Komang Widya Putra
0.0,yang bilang eriko lim itu orang tolol berarti dia juga tolaol lu juga belum tentu pinter heters ngentot,Hasbi As shidiqi
0.0,part ditunggu,Fajar Ramadhan
0.0,kenapa mem k bisa ngilu ,RiiEZ Liet
,,
0.0,saya suka konten yang kak lim uploadberarti dia juga tolaol lu juga belum tentu pinter heters ngentot,daz gaming
0.0,f cking stupid boy,Suzanne Fanny
1.0,bang ericko agamanya pa y aaa ,
,,
,,
0.0,bang coba lo bikin flog masuk greja,novita oroh
0.0,anjing kontol gue dukung lu eriko,Mega Ariesta
